RECN,AUN,MUS,TI,ATI,PG,ED,SR,CT,COM,PL,YR,DATE,OY,VOL,NUM,EN,CODE,CITE,GCITE,VO,NOTE,XN,PER,CAT,EX,TR,SC,FE,DI,DIU,ROYAL,COMMIT,CALL,MSG,STAMP,UPN,SORTN,SORT2N,LCITE,BIB,recid,GCITE2,firsttwo,FirstLetter
1717,"Morales, A.J.",,La capilla real de Sevilla,,,,Arte hispalense,,,Seville,1979,,,,,,MORA79,"Morales, 1979, p.","Morales, 1979",,seen.9.7.93.fma  // IJR 10/93,,,,,,,,,,Back on Shelf,,c se8 c c28e 1979,G J,BLR |D 1992 12 21 |T 17:07:25,BLR |D 1992 12 21 |T 17:07:25,,,"Morales, A.J.  La capilla real de Sevilla.  Arte hispalense. Seville, 1979.","Morales, A.J.  La capilla real de Sevilla.  Arte hispalense. Seville, 1979.",1713,"Morales, 1979","Morales, 1979",M
1718,"Morales, A.J.",,La sacristía mayor de la Catedral de Sevilla,,,,Arte hispalense,,,Seville,1984,,,,,,MORASA84,"Morales, Sacristía, 1984, p.","Morales, Sacristía, 1984",,Checked: IJR 10/93,,,,,,,,,,Back on Shelf,,C Se8 C C28c 1984 s,G,SYSOP |D 1992 12 21 |T 17:37:10,SYSOP |D 1992 12 21 |T 17:37:10,,"morales, a.j.1984sacristia","Morales, A.J.  La sacristía mayor de la Catedral de Sevilla. Arte hispalense.  Seville, 1984.","Morales, A.J.  La sacristía mayor de la Catedral de Sevilla. Arte hispalense.  Seville, 1984.",1714,"Morales, Sacristía, 1984","Morales, Sacristía",M
1719,"Ceán Bermúdez, J.A.",,Descripción artística de la Catedral de Sevilla,,,,,,,Seville,1804,,,,,,CEBER04,"Ceán Bermúdez, Catedral, 1804, p.","Ceán Bermúdez, Catedral, 1804",,"Checked: IJR 1/93     seen.1.29,93.fma  SME 3.93",,,,,,,,,,Back on Shelf,,022Se8 c C28,G H,SYSOP |D 1992 12 21 |T 17:44:31,SYSOP |D 1992 12 21 |T 17:44:31,,,"Ceán Bermúdez, J.A.  Descripción artística de la Catedral de Sevilla.  Seville, 1804.","Ceán Bermúdez, J.A.  Descripción artística de la Catedral de Sevilla.  Seville, 1804.",1715,"Ceán Bermúdez, Catedral, 1804",Ceán Bermúdez,C
1720,"Caveda, J.",,Ensayo histórico sobre los diversos géneros de arquitectura empleados en España desde la dominación romana hasta nuestros días,,,,,,,Madrid,1848,,,,,,CAVE,"Caveda, 1848, p.","Caveda, 1848",,Checked: IJR 1/93   seen.2.9.93.fma   SME 3.93,,,,,,,,,,Architecture,,833  C315,G H I M O P  S T V,BLR |D 1992 12 30 |T 15:13:02,BLR |D 1992 12 30 |T 15:13:02,,,"Caveda, J.  Ensayo histórico sobre los diversos géneros de arquitectura empleados en España desde la dominación romana hasta nuestros días.  Madrid, 1848.","Caveda, J.  Ensayo histórico sobre los diversos géneros de arquitectura empleados en España desde la dominación romana hasta nuestros días.  Madrid, 1848.",1716,"Caveda, 1848","Caveda, 1848",C
1721,"Hughes, R.",,Barcelona,,,,,,,New York,1992,,,,,,HUGHES,"Hughes, 1992, p.","Hughes, 1992",,Checked: IJR 1/93    seen.1.29.93.fma  SME 2.93,,,,,,,,,,Back on Shelf,,C B231 A H874,G,BLR |D 1993 01 06 |T 10:28:32,BLR |D 1993 01 06 |T 10:28:32,,,"Hughes, R.  Barcelona.  New York, 1992.","Hughes, R.  Barcelona.  New York, 1992.",1717,"Hughes, 1992","Hughes, 1992",H
1722,"Bassegoda, J.",,La Catedral de Gerona,,,,,,,Barcelona,1889,,,,,,BASSE89,"Bassegoda, 1889, p.","Bassegoda, 1889",,Checked: IJR 1/93   seen.1.29.93.fma  SME 3.93,,,,,,,,,,Back on Shelf,,C G319 c C28,G,BLR |D 1993 01 06 |T 10:36:50,BLR |D 1993 01 06 |T 10:36:50,,,"Bassegoda, J.  La Catedral de Gerona.  Barcelona, 1889.","Bassegoda, J.  La Catedral de Gerona.  Barcelona, 1889.",1718,"Bassegoda, 1889","Bassegoda, 1889",B
1723,"Valdivieso [González], E.",,"Bartolomé Esteban Murillo, 1617-1682",The Influence of Murillo on Painting in Seville,,,,,,"Madrid, Prado","[October - December 12], 1982",,,,,,VALGON82,"Valdivieso [González], 1982, p.","Valdivieso [González], 1982",,Checked: IJR 4/93    seen.9.1.93.fma,,,,,y,,y,,,Back on Shelf,,E M26 P88m94,G,EG |D 1993 03 23 |T 11:28:56,EG |D 1993 03 23 |T 11:28:56,,"Valdivieso [González], E.1982 a","Valdivieso [González], E.  The Influence of Murillo on Painting in Seville.  In Bartolomé Esteban Murillo, 1617-1682 [trav. exh.]. Madrid, Prado, [October - December 12], 1982.","Valdivieso [González], E.  The Influence of Murillo on Painting in Seville.  In Bartolomé Esteban Murillo, 1617-1682 [trav. exh.]. Madrid, Prado, [October - December 12], 1982.",1719,"Valdivieso [González], 1982",Valdivieso [González,V
1724,"Quadrado, J.M.",,"Salamanca, Avila y Segovia",,,,"Recuerdos y bellezas de España, vol.8",,,Barcelona,1865,,,,,,QUADRA65,"Quadrado, 1865, p.","Quadrado, 1865",,seen.9.3.93.fma // IJR 10/93,,,,,,,,,,Back on Shelf,,021 Splr24 v.8,G,BLR |D 1993 01 06 |T 15:51:30,BLR |D 1993 01 06 |T 15:51:30,,,"Quadrado, J.M.  Salamanca, Avila y Segovia.  Recuerdos y bellezas de España, vol.8.  Barcelona, 1865.","Quadrado, J.M.  Salamanca, Avila y Segovia.  Recuerdos y bellezas de España, vol.8.  Barcelona, 1865.",1720,"Quadrado, 1865","Quadrado, 1865",Q
1725,"Martínez Frías, J.M.",,"Castilla y León. 1. Burgos, Palencia, Valladolid, Soria, Segovia y Avila",Avila,,,"La España gótica, vol.9",,,Madrid,"1989, pp.453-501",,,,,,MARFRI,"Martínez Frías, 1989, p.","Martínez Frías, 1989",,Checked: IJR 1/93    seen.1.26.93.fma,,,,,,,Y,,,Back on Shelf,,803 EsG14 v.9,G,BLR |D 1993 01 11 |T 11:16:21,BLR |D 1993 01 11 |T 11:16:21,,,"Martínez Frías, J.M.  Avila.  In Castilla y León. 1. Burgos, Palencia, Valladolid, Soria, Segovia y Avila.  La España gótica, vol.9. Madrid, 1989, pp.453-501.","Martínez Frías, J.M.  Avila.  In Castilla y León. 1. Burgos, Palencia, Valladolid, Soria, Segovia y Avila.  La España gótica, vol.9. Madrid, 1989, pp.453-501.",1721,"Martínez Frías, 1989",Martínez Frías,M
1726,,,"Monumentos españoles. Catálogo de los declarados histórico-artísticos, 1844-1953",,,3rd,,Ed.,"Ministerio de Cultura. Centro Nacional de Información Artística, Arqueológica y Etnológica",Madrid,1984,,,,,,MOES,"Monumentos españoles, 1984, v. , p.","Monumentos españoles, 1984",4 vols.,Checked: IJR 10/93     seen.8.11.94.fma,,,,,,,,,,Authors,,021 Splm267 1984 v.3,M1,BLR |D 1993 01 07 |T 14:41:33,BLR |D 1993 01 07 |T 14:41:33,,,"Monumentos españoles. Catálogo de los declarados histórico-artísticos, 1844-1953.  4 vols.  3rd ed.  Ed. Ministerio de Cultura. Centro Nacional de Información Artística, Arqueológica y Etnológica.  Madrid, 1984.","Monumentos españoles. Catálogo de los declarados histórico-artísticos, 1844-1953.  4 vols.  3rd ed.  Ed. Ministerio de Cultura. Centro Nacional de Información Artística, Arqueológica y Etnológica.  Madrid, 1984.",1722,"Monumentos españoles, 1984",Monumentos españoles,M
1727,"Mayer, A.L.",,El estilo románico en España,,,,,,,Madrid,1931,,,,,,MAYER31,"Mayer, 1931, p.","Mayer, 1931",,Checked: IJR 1/93 // SME 1/93     seen.1.29.93.fma,,,,,,,,,,Back on Shelf,,803 M44e,G,BLR |D 1993 01 11 |T 11:25:15,BLR |D 1993 01 11 |T 11:25:15,,,"Mayer, A.L.  El estilo románico en España.  Madrid, 1931.","Mayer, A.L.  El estilo románico en España.  Madrid, 1931.",1723,"Mayer, 1931","Mayer, 1931",M
1728,"Ibáñez Martínez, P.M.",,"Los Gómez, una dinastía de pintores del Renacimiento",,,,,,,[Cuenca],1991,,,,,,IMAR91,"Ibáñez Martínez, 1991, p.","Ibáñez Martínez, 1991",,seen.9.3.93.fma // IJR 10/93,,,,,,,,,,Back on Shelf,,812 Ib1,G,SME |D 1993 01 11 |T 15:15:27,SME |D 1993 01 11 |T 15:15:22,,,"Ibáñez Martínez, P.M.  Los Gómez, una dinastía de pintores del Renacimiento.  [Cuenca], 1991.","Ibáñez Martínez, P.M.  Los Gómez, una dinastía de pintores del Renacimiento.  [Cuenca], 1991.",1724,"Ibáñez Martínez, 1991",Ibáñez Martínez,I
1729,"Calvo Serraller, F.",,Pintores españoles entre dos fines de siglo (1880-1990). De Eduardo Rosales a Miquel Barceló,,,,,,,Madrid,1990,,,,,,CALSE90,"Calvo Serraller, 1990, p.","Calvo Serraller, 1990",,Checked: IJR 4/93 // SME 1/93         seen.8.23.95.fma,,,,,,,,,,Authors,,810 C139,B G H L M1 S,SME |D 1993 01 11 |T 15:22:25,SME |D 1993 01 11 |T 15:22:25,,,"Calvo Serraller, F.  Pintores españoles entre dos fines de siglo (1880-1990). De Eduardo Rosales a Miquel Barceló.  Madrid, 1990.","Calvo Serraller, F.  Pintores españoles entre dos fines de siglo (1880-1990). De Eduardo Rosales a Miquel Barceló.  Madrid, 1990.",1725,"Calvo Serraller, 1990",Calvo Serraller,C
1730,"Hernández, M.",,Line of Light and Shadow. The Drawings of Federico García Lorca,,,,,Trans.,C. Maurer,Durham and London,1991,,,,,,HERNAN91,"Hernández, 1991, p.","Hernández, 1991",,Checked; IJR 1/93   seen.1.28.93.fma,,,,,,,,,,Back on Shelf,,813 G1652h43,G,BLR |D 1993 01 13 |T 13:46:01,BLR |D 1993 01 13 |T 13:46:01,,,"Hernández, M.  Line of Light and Shadow. The Drawings of Federico García Lorca.  Trans. C. Maurer.  Durham and London, 1991.","Hernández, M.  Line of Light and Shadow. The Drawings of Federico García Lorca.  Trans. C. Maurer.  Durham and London, 1991.",1726,"Hernández, 1991","Hernández, 1991",H
1731,"Ponz, A.",,Viage de España,,,,,,,Madrid,1787-1792,,,,,,PONZ,"Ponz, v. , 17  , p.","Ponz, 1787-1792",18 vols.,,,,,,,,,,,Back on Shelf,,F 021 Splp77 v.12,G P Z,BLR |D 1993 01 25 |T 11:32:44,BLR |D 1993 01 25 |T 11:32:44,,,"Ponz, A.  Viage de España.  18 vols.  Madrid, 1787-1792.","Ponz, A.  Viage de España.  18 vols.  Madrid, 1787-1792.",1727,"Ponz, 1787-1792","Ponz, 1787-1792",P
1732,,"Vitoria, Caja de Ahorros de Vitoria y Alava. Sala de Exposiciones San Prudencio",Renacimiento y Barroco. Imágenes para la historia,,,,,Comp.,J.M. González de Zárate,,,March |y  1992,,,,,VICA,"Vitoria, Caja de Ahorros [trav. exh.], 1992, p.","Vitoria, Caja de Ahorros [trav. exh.], 1992",,Checked: IJR 1/93,,,,,Y,,,,,Exhibitions,,,G,SME |D 1993 01 14 |T 08:54:39,SME |D 1993 01 14 |T 08:54:39,,,"Vitoria, Caja de Ahorros de Vitoria y Alava. Sala de Exposiciones San Prudencio.  Renacimiento y Barroco. Imágenes para la historia [trav. exh.].  Comp. J.M. González de Zárate.  March 1992.","Vitoria, Caja de Ahorros de Vitoria y Alava. Sala de Exposiciones San Prudencio.  Renacimiento y Barroco. Imágenes para la historia [trav. exh.].  Comp. J.M. González de Zárate.  March 1992.",1728,"Vitoria, Caja de Ahorros [trav. exh.], 1992","Vitoria, Caja",V
1733,,"Seville, Museo de Bellas Artes",Valdés Leal,,,,,Comp.,E. Valdivieso [González],,,|y1991,,,,,SEMU91,"Seville, Museo de Bellas Artes [trav. exh.], 1991, p.","Seville, Museo de Bellas Artes [trav. exh.], 1991",,"Checked: IJR 1/93   seen.1.29.93.fma  AFTER KS ADDS 'TEXT BY' IT SHOULD BE EDITED INSTEAD OF AS STANDS NOW = 'COMP. BY' Please do NOT edit this exh. cat. as first shown in Madrid, as FARL did it. It was shown firstly in Sevilla.FMA",,,,,Y,,,,,Location,,E M26 P88 v23,G V,SME |D 1993 01 14 |T 09:36:52,SME |D 1993 01 14 |T 09:36:52,,,"Seville, Museo de Bellas Artes.  Valdés Leal [trav. exh.]. Comp. E. Valdivieso [González].  1991.","Seville, Museo de Bellas Artes.  Valdés Leal [trav. exh.]. Comp. E. Valdivieso [González].  1991.",1729,"Seville, Museo de Bellas Artes [trav. exh.], 1991","Seville, Museo",S
1734,"Ortega Coca, M.T.",,Eduardo García Benito,,,,,,,Valladolid,1979,,,,,,ORCO,"Ortega Coca, 1979, p.","Ortega Coca, 1979",,Checked SME 1/93  // IJR 1/93   seen.1.26.93.fma,,,,,,,,,,Back on Shelf,,813 G1646or8,G,SME2 |D 1993 01 14 |T 13:03:44,SME2 |D 1993 01 14 |T 13:03:44,,,"Ortega Coca, M.T.  Eduardo García Benito.  Valladolid, 1979.","Ortega Coca, M.T.  Eduardo García Benito.  Valladolid, 1979.",1730,"Ortega Coca, 1979",Ortega Coca,O
1735,"Martínez de Aguirre, J.",,"Arte y monarquía en Navarra, 1328-1425",,,,,,,Pamplona,1987,,,,,,MARA,"Martínez de Aguirre, 1987, p.","Martínez de Aguirre, 1987",,Checked IJR 1/93   seen.1.26.93.fma,,,,,,,,,,General - Regional,,803 M3664,G L O P,SME2 |D 1993 01 15 |T 14:32:10,SME2 |D 1993 01 15 |T 14:32:10,,,"Martínez de Aguirre, J.  Arte y monarquía en Navarra, 1328-1425.  Pamplona, 1987.","Martínez de Aguirre, J.  Arte y monarquía en Navarra, 1328-1425.  Pamplona, 1987.",1731,"Martínez de Aguirre, 1987",Martínez de,M
1737,"Otero Túñez, R.",,El legado artístico de la Compañía de Jesús a la Universidad de Santiago,,,,,,,Santiago de Compostela,1986,,,,,,OTU,"Otero Túñez, 1986, p.","Otero Túñez, 1986",,Checked: IJR 1/93   seen.1.26.93.fma,,,,,,,,,,Back on Shelf,,803 Ot2,G H R,SME |D 1993 01 21 |T 16:09:58,SME |D 1993 01 21 |T 16:09:58,,,"Otero Túñez, R.  El legado artístico de la Compañía de Jesús a la Universidad de Santiago.  Santiago de Compostela, 1986.","Otero Túñez, R.  El legado artístico de la Compañía de Jesús a la Universidad de Santiago.  Santiago de Compostela, 1986.",1732,"Otero Túñez, 1986",Otero Túñez,O
1738,"Ariz, Fray L.",,Historia de las grandezas de la ciudad de Avila,,,,,,,Alcalá de Henares,1607,,,,,,ARIZ,"Ariz, 1607, [p. ,(add verso, v., or recto, r.)]","Ariz, 1607",,seen.4.15.93.fma,,,,,,,,,,Back on Shelf,,FC Av57 A Ar4,G,BLR |D 1993 01 25 |T 11:48:34,BLR |D 1993 01 25 |T 11:48:34,,,"Ariz, Fray L.  Historia de las grandezas de la ciudad de Avila. Alcalá de Henares, 1607.","Ariz, Fray L.  Historia de las grandezas de la ciudad de Avila. Alcalá de Henares, 1607.",1733,"Ariz, 1607","Ariz, 1607",A
1739,"Fabre, J.",,Guia d'escultures al carrer (itineraris a peu i en cotxe),,,,,,,Gerona,1991,,,,,,FABRE,"Fabre, 1991, p.","Fabre, 1991",,seen. 1.25.93.fma // IJR 2/93,,,,,,,,,,Back on Shelf,,c g319 a f114,C G,FMA |D 1993 01 25 |T 12:01:07,FMA |D 1993 01 25 |T 12:01:07,,,"Fabre, J.  Guia d'escultures al carrer (itineraris a peu i en cotxe).  Gerona, 1991.","Fabre, J.  Guia d'escultures al carrer (itineraris a peu i en cotxe).  Gerona, 1991.",1734,"Fabre, 1991","Fabre, 1991",F
1740,"Benito Doménech, F.",,Archivo de Arte Valenciano,Una singular serie de cuadros sobre la vida de San Julián,70-75,,,,,,,|y1979,,50,,,BEDO79,"Benito Doménech, 1979, p.","Benito Doménech, 1979",,Checked: IJR 3/93    seen.5.9.94.fma,,Y,,,,,,,,Back on Shelf,,,G,SME |D 1993 01 25 |T 12:16:46,SME |D 1993 01 25 |T 12:16:46,,,"Benito Doménech, F.  Una singular serie de cuadros sobre la vida de San Julián.  Archivo de Arte Valenciano  50 (1979): 70-75.","Benito Doménech, F.  Una singular serie de cuadros sobre la vida de San Julián.  Archivo de Arte Valenciano  50 (1979): 70-75.",1735,"Benito Doménech, 1979",Benito Doménech,B
1741,"Hernández Díaz, J.",,Documentos para la historia del arte en Andalucía,Arte y artistas del Renacimiento en Sevilla,,,,,,"Seville, vol.6",1933,,,,,,HERDI33,"Hernández Díaz, 1933, p.","Hernández Díaz, 1933",,Checked: IJR 10/93,,,,,,,Y,,,Back on Shelf,,803 Se84d,G,BLR |D 1993 01 25 |T 14:53:19,BLR |D 1993 01 25 |T 14:53:19,,,"Hernández Díaz, J.  Arte y artistas del Renacimiento en Sevilla.  In Documentos para la historia del arte en Andalucía.  Seville, vol.6, 1933.","Hernández Díaz, J.  Arte y artistas del Renacimiento en Sevilla.  In Documentos para la historia del arte en Andalucía.  Seville, vol.6, 1933.",1736,"Hernández Díaz, 1933",Hernández Díaz,H
1742,"Puig, J. de, et al.",,El palau Güell,,,,,,,Barcelona,1990,,,,,,PUIG,"Puig, 1990, p.","Puig, 1990",,Checked: IJR 10/93          seen.6.14.94.fma,,,,,,,,,,Back on Shelf,,C B231 C P1745p964,G L,BLR |D 1993 01 25 |T 15:57:47,BLR |D 1993 01 25 |T 15:57:47,,,"Puig, J. de, et al.  El palau Güell.  Barcelona, 1990.","Puig, J. de, et al.  El palau Güell.  Barcelona, 1990.",1737,"Puig, 1990","Puig, 1990",P
1743,,"Candas, Centro de Escultura, Museo Antón","José Gutiérrez Solana, grabador y litógrafo",,,,,,,,,"August 16 - September 16, |y 1990",,,,,CANCEN,"Candas, Centro de Escultura, Museo Antón [trav. exh.], 1990, p.","Candas, Centro de Escultura, Museo Antón [trav. exh.], 1990",,seen.1.25.93.fma // IJR 3/93,,,,,y,,,,,Back on Shelf,,e c163 c333g98,G,FMA |D 1993 01 25 |T 16:36:25,FMA |D 1993 01 25 |T 16:36:25,,,"Candas, Centro de Escultura, Museo Antón.  José Gutiérrez Solana, grabador y litógrafo [trav. exh.].  August 16 - September 16, 1990.","Candas, Centro de Escultura, Museo Antón.  José Gutiérrez Solana, grabador y litógrafo [trav. exh.].  August 16 - September 16, 1990.",1738,"Candas, Centro de Escultura, Museo Antón [trav. exh.], 1990","Candas, Centro",C
1744,"Tovar [Martín], V., and J.J. Martín González.",,El arte del Barroco. I. Arquitectura y escultura,,,,"Conceptos fundamentales en la historia del arte español, vol.6",,,Madrid,1990,,,,,,TOMAR,"Tovar [Martín] and Martín González, 1990, p.","Tovar [Martín] and Martín González, 1990",,seen.1.25.93.fma   SME 2.93 // IJR 7/93,,,,,,,,,,Sculpture,,803 t6495 v.1,G H I L  M1 M3 P R S V,FMA |D 1993 01 25 |T 16:59:13,FMA |D 1993 01 25 |T 16:59:13,,,"Tovar [Martín], V., and J.J. Martín González.  El arte del Barroco. I. Arquitectura y escultura.  Conceptos fundamentales en la historia del arte español, vol.6.  Madrid, 1990.","Tovar [Martín], V., and J.J. Martín González.  El arte del Barroco. I. Arquitectura y escultura.  Conceptos fundamentales en la historia del arte español, vol.6.  Madrid, 1990.",1739,"Tovar [Martín] and Martín González, 1990",Tovar [Martín,T
1745,"Marín Fidalgo, A.",,El Alcázar de Sevilla bajo los Austrias,,,,,,,Seville,1990,,,,,,MAFI,"Marín Fidalgo, 1990, v. , p.","Marín Fidalgo, 1990",2 vols.,seen.1.29.93.fma // IJR 10/93,,,,,,,,,,Back on Shelf,,C Se8 C Al1m338 v.1 / v.2,G H,BLR |D 1993 01 25 |T 17:01:33,BLR |D 1993 01 25 |T 17:01:33,,,"Marín Fidalgo, A.  El Alcázar de Sevilla bajo los Austrias.  2 vols.  Seville, 1990.","Marín Fidalgo, A.  El Alcázar de Sevilla bajo los Austrias.  2 vols.  Seville, 1990.",1740,"Marín Fidalgo, 1990",Marín Fidalgo,M
1746,"Ramos Rubio, J.A.",,Estudio histórico artístico de la iglesia parroquial de Santa María la Mayor de Trujillo,,,,,,,Cáceres,1990,,,,,,RARU,"Ramos Rubio, 1990, p.","Ramos Rubio, 1990",,seen.1.26.93.fma  // IJR 10/93,,,,,,,,,,Back on Shelf,,c t769 c sa59r147,G,FMA |D 1993 01 26 |T 08:22:58,FMA |D 1993 01 26 |T 08:22:58,,,"Ramos Rubio, J.A.  Estudio histórico artístico de la iglesia parroquial de Santa María la Mayor de Trujillo.  Cáceres, 1990.","Ramos Rubio, J.A.  Estudio histórico artístico de la iglesia parroquial de Santa María la Mayor de Trujillo.  Cáceres, 1990.",1741,"Ramos Rubio, 1990",Ramos Rubio,R
1747,"Piedra, A.",,Archivo Español de Arte,Fecha y lugar de nacimiento del pintor José García Hidalgo,325-326,,,,,,,|y 1990,,63,,,PIEDRA90,"Piedra, 1990, p.","Piedra, 1990",,Checked: IJR 1/93   seen.1.26.93.fma,,Y,,,,,,,,Back on Shelf,,,G,SME |D 1993 01 26 |T 08:29:57,SME |D 1993 01 26 |T 08:29:57,,,"Piedra, A.  Fecha y lugar de nacimiento del pintor José García Hidalgo.  Archivo Español de Arte  63 (1990): 325-326.","Piedra, A.  Fecha y lugar de nacimiento del pintor José García Hidalgo.  Archivo Español de Arte  63 (1990): 325-326.",1742,"Piedra, 1990","Piedra, 1990",P
1748,"Portela Sandoval, F.[J.]",,Goya,"Nicolás de Vergara, el Mozo",208-213,,,,,,,January-February |y 1973,,,112,,PORSANVER,"Portela Sandoval, Vergara, el Mozo, 1973, p.","Portela Sandoval, Vergara, el Mozo, 1973",,,,Y,,,,,,,,Magazine,,,V,JEFF |D 1996 06 17 |T 10:56:21,JEFF |D 1996 06 17 |T 10:56:21,,,"Portela Sandoval, F.[J.]  Nicolás de Vergara, el Mozo.  Goya 112 (January-February 1973): 208-213.","Portela Sandoval, F.[J.]  Nicolás de Vergara, el Mozo.  Goya 112 (January-February 1973): 208-213.",1743,"Portela Sandoval, Vergara, el Mozo, 1973",Portela Sandoval,P
1749,"Valdivieso [González], E.",,Boletín del Seminario de Estudios de Arte y Arqueología,Dos nuevas pinturas de José García Hidalgo,504-507,,,,,,,|y1980,,(Universidad de Valladolid) 46,,,VALGO80,"Valdivieso [González], 1980, p.","Valdivieso [González], 1980",,Checked: IJR 1/93   SME 1/93   seen.1.29.93.fma,,y,,,,,,,,Back on Shelf,,,G,IR |D 1993 01 26 |T 09:21:17,IR |D 1993 01 26 |T 09:21:17,,,"Valdivieso [González], E.  Dos nuevas pinturas de José García Hidalgo.  Boletín del Seminario de Estudios de Arte y Arqueología (Universidad de Valladolid) 46 (1980): 504-507.","Valdivieso [González], E.  Dos nuevas pinturas de José García Hidalgo.  Boletín del Seminario de Estudios de Arte y Arqueología (Universidad de Valladolid) 46 (1980): 504-507.",1744,"Valdivieso [González], 1980",Valdivieso [González,V
1750,"Collar de Cáceres, F.",,Boletín del Museo del Prado,Un San Juanito de José García Hidalgo,161-162,,,,,,,|y1987,,8,,,COCA87,"Collar de Cáceres, Un San Juanito, 1987, p.","Collar de Cáceres, Un San Juanito, 1987",,Checked: IJR 1/93   SME 1/93   seen.1.26.93.fma,,y,,,,,,,,Back on Shelf,,,G,IR |D 1993 01 26 |T 09:32:06,IR |D 1993 01 26 |T 09:32:06,,,"Collar de Cáceres, F.  Un San Juanito de José García Hidalgo. Boletín del Museo del Prado  8 (1987): 161-162.","Collar de Cáceres, F.  Un San Juanito de José García Hidalgo. Boletín del Museo del Prado  8 (1987): 161-162.",1745,"Collar de Cáceres, Un San Juanito, 1987",Collar de,C
1751,"Urrea Fernández, J.",,Archivo Español de Arte,El pintor José García Hidalgo,97-117,,,,,,,|y1975,,48,,,UFERGAR76,"Urrea Fernández, García Hidalgo, 1975, p.","Urrea Fernández, García Hidalgo, 1975",,Checked: IJR 1/93 SME 1/93 seen.1.26.93.fma,,y,,,,,,,,Back on Shelf,,,G,IR |D 1993 01 26 |T 09:44:23,IR |D 1993 01 26 |T 09:44:23,ga,,"Urrea Fernández, J.  El pintor José García Hidalgo.  Archivo Español de Arte  48 (1975): 97-117.","Urrea Fernández, J.  El pintor José García Hidalgo.  Archivo Español de Arte  48 (1975): 97-117.",1746,"Urrea Fernández, García Hidalgo, 1975",Urrea Fernández,U
1752,"Stêpánek, P.",,Boletín del Museo del Prado,"Un retrato de María Luisa de Orleans, de José García Hidalgo, en el Prado",33-35,,,,,,,|y1985,,6,,,STE,"Stêpánek, 1985, p.","Stêpánek, 1985",,Checked: IJR 1/93    SME 1/93    seen.1.26.93.fma,,y,,,,,,,,Back on Shelf,,,G,IR |D 1993 01 26 |T 10:07:47,IR |D 1993 01 26 |T 10:07:47,,,"Stêpánek, P.  Un retrato de María Luisa de Orleans, de José García Hidalgo, en el Prado.  Boletín del Museo del Prado  6 (1985): 33-35.","Stêpánek, P.  Un retrato de María Luisa de Orleans, de José García Hidalgo, en el Prado.  Boletín del Museo del Prado  6 (1985): 33-35.",1747,"Stêpánek, 1985","Stêpánek, 1985",S
1753,"García Iglesias, J.M.",,La pintura manierista en Galicia. Catalogación arqueológica y artística de Galicia del Museo de Pontevedra,,,,,,,La Coruña,1986,,,,,,GARI86,"García Iglesias, 1986, p.","García Iglesias, 1986",,seen.1.26.93.fma // IJR 10/93,,,,,,,,,,General - Regional,,021 splg165,G S T,FMA |D 1993 01 26 |T 15:23:49,FMA |D 1993 01 26 |T 15:23:49,,,"García Iglesias, J.M.  La pintura manierista en Galicia. Catalogación arqueológica y artística de Galicia del Museo de Pontevedra.  La Coruña, 1986.","García Iglesias, J.M.  La pintura manierista en Galicia. Catalogación arqueológica y artística de Galicia del Museo de Pontevedra.  La Coruña, 1986.",1748,"García Iglesias, 1986",García Iglesias,G
1754,"Ainaud [de Lasarte], J.",,El palau de la Generalitat de Catalunya,,,,,,,Barcelona,1988,,,,,,AILA88,"Ainaud [de Lasarte], 1988, p.","Ainaud [de Lasarte], 1988",,seen.1.27.93.fma  // IJR 10/93,,,,,,,,,,Back on Shelf,,c b231 c p17ai61,G,FMA |D 1993 01 27 |T 09:45:21,FMA |D 1993 01 27 |T 09:45:21,,"Ainaud de Lasarte, J.1988","Ainaud [de Lasarte], J.  El palau de la Generalitat de Catalunya.  Barcelona, 1988.","Ainaud [de Lasarte], J.  El palau de la Generalitat de Catalunya.  Barcelona, 1988.",1749,"Ainaud [de Lasarte], 1988",Ainaud [de,A
1756,"Herrera Casado, A.",,"Sigüenza, una ciudad medieval. Una guía para conocerla y visitarla",,,,,,,Guadalajara,1991,,,,,,HECA,"Herrera Casado, 1991, p.","Herrera Casado, 1991",,seen.1.29.93.fma  // IJR 10/93,,,,,,,,,,Collections (Private & Public),,C Si285 A H433,G,FMA |D 1993 01 29 |T 10:37:45,FMA |D 1993 01 29 |T 10:37:45,,,"Herrera Casado, A.  Sigüenza, una ciudad medieval. Una guía para conocerla y visitarla.  Guadalajara, 1991.","Herrera Casado, A.  Sigüenza, una ciudad medieval. Una guía para conocerla y visitarla.  Guadalajara, 1991.",1751,"Herrera Casado, 1991",Herrera Casado,H
1757,"Alvarez García, M.J.",,Románico rural de cabecera plana en el nordeste de León,,,,,,,León,1990,,,,,,ALGAR90,"Alvarez García, 1990, p.","Alvarez García, 1990",,seen.1.29.93.fma // IJR 10/93,,,,,,,,,,Back on Shelf,,021 Sp1aL86,G,BLR |D 1993 01 29 |T 11:16:28,BLR |D 1993 01 29 |T 11:16:28,,,"Alvarez García, M.J.  Románico rural de cabecera plana en el nordeste de León.  León, 1990.","Alvarez García, M.J.  Románico rural de cabecera plana en el nordeste de León.  León, 1990.",1752,"Alvarez García, 1990",Alvarez García,A
